nr,conf,sweat,conf_sweat,broken,grim,broken_grim,kisscl,kissm,kisscl_kissm,imp,fear,imp_fear,kiss,twoh,kiss_twoh,sungl,smile,sungl_smile,joycat,disa,joycat_disa,fluency,culturalbg,name_cult,gender,age
P01,2,2,2,2,2,4,5,4,4,2,1,5,3,4,1,5,2,2,2,2,3,5,KR,,F,30s
P02,5,4,2,2,2,4,5,5,2,4,2,4,4,5,2,5,5,5,2,1,5,5,KR,,M,60a
P03,3,2,2,2,2,2,3,3,2,2,2,3,3,2,2,3,2,2,2,2,2,4,KR,,M,60a
P04,3,2,2,4,2,4,4,4,4,1,2,4,4,4,4,3,3,3,2,2,4,1,KR,,F,60a
P05,2,2,4,2,2,5,4,4,3,2,2,4,4,5,2,4,4,2,4,2,1,5,KR,,M,40s
P06,5,5,4,5,3,5,3,3,3,5,5,2,4,5,5,5,4,5,5,1,5,4,KR,,M,60a
P07,1,2,2,2,2,3,5,4,4,2,2,4,5,4,3,2,1,5,2,2,3,4,KR,,F,50s
P08,4,2,4,4,2,2,5,4,5,1,2,5,4,5,2,3,4,1,4,2,5,4,KR,,M,50s
P09,1,1,3,1,3,5,3,5,1,1,3,5,5,4,3,5,5,1,3,1,5,4,KR,,F,60a
P10,1,2,1,1,1,5,5,5,4,1,1,5,5,5,2,5,5,3,5,2,5,5,KR,,F,40s
P11,1,2,2,2,2,5,4,4,2,2,2,4,3,3,3,3,2,2,2,2,3,4,KR,,F,40s
P12,3,2,2,2,3,5,4,2,1,2,1,2,5,3,3,3,2,2,2,2,3,4,KR,,F,20s
P13,4,3,4,4,3,4,3,4,4,3,4,4,4,3,4,3,4,3,4,4,4,4,Multi,USA,M,40s
P14,2,2,3,2,3,3,3,4,3,3,3,4,4,3,3,3,3,4,3,3,4,4,KR,,F,20s
P15,3,3,1,3,1,5,4,4,5,3,3,5,5,4,3,4,3,3,4,3,3,3,KR,,F,40s
P16,4,3,5,3,5,5,4,5,3,4,5,4,4,5,3,3,5,3,4,5,5,4,EU,,M,50s
P17,3,2,4,2,4,3,2,3,4,3,2,3,2,2,5,2,1,5,3,3,3,5,KR,,M,30s
P18,2,2,1,1,3,5,4,5,5,2,2,4,3,5,1,4,2,4,2,2,4,3,KR,,F,20s
P19,5,4,4,5,4,4,4,5,5,5,4,5,4,4,4,3,4,4,4,4,4,3,KR,,M,30s
P20,3,2,3,4,2,3,3,4,5,3,3,2,3,3,3,2,5,3,3,4,4,4,KR,,F,30s
P21,2,2,4,2,1,1,4,5,4,1,2,5,5,5,5,3,4,3,4,3,3,5,KR,,M,50s
P22,3,2,3,2,3,2,4,4,4,2,2,4,3,4,3,4,4,5,4,2,4,4,KR,,F,40s
P23,2,1,2,5,2,5,4,4,3,2,2,3,4,5,2,5,3,5,3,2,4,5,KR,,M,20s
P24,3,5,4,3,3,5,3,3,5,2,2,3,2,2,2,2,1,2,3,4,2,2,KR,,M,20s
P25,3,3,2,3,1,4,3,2,4,3,2,3,3,2,4,2,4,3,3,4,2,4,KR,,F,20s
P26,2,2,4,2,2,3,4,4,4,2,2,4,4,4,2,3,4,3,4,2,2,4,KR,,M,50s
P27,3,1,1,2,2,1,4,4,4,2,2,3,4,4,3,4,5,4,5,2,2,5,KR,,M,50s
P28,2,1,5,2,1,2,4,5,4,2,1,4,3,4,2,4,2,4,4,2,3,5,KR,,M,20s
P29,1,1,5,1,1,3,4,4,4,3,3,3,4,3,5,5,4,5,4,3,3,1,KR,,F,40s
P30,3,4,4,3,4,3,3,3,4,4,4,4,4,3,3,3,4,3,3,3,4,3,KR,,M,20s
P31,2,2,4,2,2,4,4,4,4,2,2,4,4,4,2,5,4,4,3,2,4,4,KR,,M,50s
P32,3,3,2,3,2,3,2,3,3,4,1,3,3,2,3,3,3,2,3,4,4,5,KR,,M,20s
P33,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,KR,,M,20s
P34,3,2,2,4,5,4,4,5,4,4,3,5,3,5,3,4,3,4,2,4,2,4,KR,,F,30s
P35,2,2,5,2,1,1,4,3,3,2,2,5,2,4,4,3,2,2,2,1,1,4,KR,,F,30s
P36,2,2,4,2,2,4,4,4,3,2,2,5,4,4,2,4,4,2,2,1,2,4,KR,,F,40s
P37,3,4,5,3,4,3,4,5,4,4,4,3,3,5,5,4,4,4,5,5,4,5,KR,,F,20s
P38,2,2,2,3,2,2,4,4,3,2,3,4,4,4,2,4,3,2,4,2,1,4,KR,,M,20s
P39,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,KR,,F,50s
P40,3,2,3,1,3,4,4,2,4,2,3,5,4,4,3,2,3,4,2,2,3,4,KR,,F,30s
P41,2,2,1,2,3,5,4,5,3,5,3,5,3,5,5,4,5,5,2,2,5,4,KR,,M,50s
P42,1,1,1,5,1,5,1,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,KR,,M,30s
P43,2,4,1,3,1,5,2,3,1,4,3,2,1,3,2,1,4,3,3,4,5,3,Multi,,M,30s
P44,2,2,3,2,2,3,4,4,3,2,2,3,4,4,3,3,2,3,3,3,3,4,KR,,F,30s
P45,3,2,1,2,3,4,5,4,5,2,1,2,3,4,3,3,2,3,2,2,3,1,KR,,F,20s
P46,3,4,3,3,4,2,4,3,2,4,4,4,3,3,2,4,5,3,3,5,2,3,KR,,F,40s
P47,1,3,5,2,2,4,4,3,3,1,2,5,3,4,3,3,3,3,3,2,3,4,KR,,F,30s
P48,2,2,3,2,3,4,4,4,4,2,2,4,3,3,3,3,2,2,3,2,2,4,KR,,F,30s
P49,1,2,4,2,2,3,5,4,5,3,2,4,3,5,2,3,4,2,2,2,4,4,KR,,F,60a
P50,2,3,2,1,3,4,4,4,4,2,4,4,4,3,2,2,4,4,2,4,4,3,KR,,F,20s
P51,2,2,3,2,1,5,4,5,4,1,2,2,3,5,1,4,3,4,4,2,5,4,KR,,F,20s
P52,2,3,4,3,3,3,4,3,3,3,2,2,4,3,4,4,3,4,4,3,4,4,KR,,F,20s
